term_code,term_desc,term_start_date,enrollment_date,date,days,level_desc,student_type,online,learner_age,_FREQ_,Official
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Continuing,On-Campus Program,14 <= Age <= 20,,1
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Continuing,On-Campus Program,21 <= Age <= 24,50,191
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Continuing,On-Campus Program,25 <= Age <= 82,54,318
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Continuing,Online Program,21 <= Age <= 24,11,80
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Continuing,Online Program,25 <= Age <= 82,24,769
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,New First Time Grad Applicant,Online Program,25 <= Age <= 82,,1
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,New First Time Grad Applicant,On-Campus Program,14 <= Age <= 20,4,
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,New First Time Grad Applicant,On-Campus Program,21 <= Age <= 24,41,162
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,New First Time Grad Applicant,On-Campus Program,25 <= Age <= 82,19,142
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,New First Time Grad Applicant,Online Program,14 <= Age <= 20,,1
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,New First Time Grad Applicant,Online Program,21 <= Age <= 24,10,106
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,New First Time Grad Applicant,Online Program,25 <= Age <= 82,10,360
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Returning,On-Campus Program,21 <= Age <= 24,,3
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Returning,On-Campus Program,25 <= Age <= 82,2,48
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Returning,Online Program,21 <= Age <= 24,,4
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Returning,Online Program,25 <= Age <= 82,1,55
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Non Degree,On-Campus Program,25 <= Age <= 82,1,9
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Graduate,Non Degree,Online Program,25 <= Age <= 82,,1
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Continuing,On-Campus Program,14 <= Age <= 20,134,2608
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Continuing,On-Campus Program,21 <= Age <= 24,352,2448
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Continuing,On-Campus Program,25 <= Age <= 82,60,469
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Continuing,Online Program,14 <= Age <= 20,2,96
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Continuing,Online Program,21 <= Age <= 24,3,344
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Continuing,Online Program,25 <= Age <= 82,30,1081
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,High School Special,On-Campus Program,14 <= Age <= 20,,5
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,EKU Dual Credit,On-Campus Program,14 <= Age <= 20,,815
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,New First Time Freshman,,14 <= Age <= 20,,3
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,New First Time Freshman,On-Campus Program,14 <= Age <= 20,,2520
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,New First Time Freshman,On-Campus Program,21 <= Age <= 24,,28
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,New First Time Freshman,On-Campus Program,25 <= Age <= 82,,16
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,New First Time Freshman,Online Program,14 <= Age <= 20,,83
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,New First Time Freshman,Online Program,21 <= Age <= 24,,30
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,New First Time Freshman,Online Program,25 <= Age <= 82,,69
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Returning,On-Campus Program,14 <= Age <= 20,,36
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Returning,On-Campus Program,21 <= Age <= 24,,46
202310,Fall 2022,15AUG2022:00:00:00,07APR2022:06:00:00,04-07,-130,Undergraduate,Returning,On-Campus Program,25 <= Age <= 82,4,56
